runName,length,width,height,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
200x100x400,200,100,400,6102,3323,3016,2997,3113,2751,2717,2774,2563,2727,2552,2672,2626,2697,2800,3262,2882,2612,3037,2638,2669,2844,2534,3125,2690,3738,2779,2603,2572,2571,2616,2544
200x100x200,200,100,200,1412,1580,1227,1347,1266,1385,1447,1405,1155,1245,1161,1290,1243,1317,1231,1199,1388,1312,1252,1280,1369,1248,1184,1202,1465,1307,1356,1382,1353,1411,1344,1308
200x100x100,200,100,100,756,649,645,577,712,702,750,688,779,685,613,593,674,684,553,629,567,794,640,780,745,695,649,755,731,689,611,691,718,601,666,629
400x400x200,400,400,200,32860,36825,37565,36075,36907,38096,37136,37612,37164,38028,36793,36750,36736,36517,36730,37867,37784,38484,36730,37676,36370,36594,36187,36288,37080,36698,37933,37210,36374,36108,36305,37194
400x400x100,400,400,100,19000,18695,19098,18687,17590,18383,16820,19509,17555,17289,17381,18064,17857,18681,18322,18151,17584,17954,18966,18163,18402,18330,19385,17795,18543,18013,17664,18316,19408,16329,17683,18357
100x200x200,100,200,200,2495,1370,1292,1308,1173,1290,1260,1587,1400,1161,1279,1325,1340,1310,1300,1160,1212,1282,1163,1385,1282,1379,1291,1214,1158,1275,1358,1222,1180,1344,1218,1219
100x200x100,100,200,100,637,708,592,651,675,669,637,650,586,763,647,606,570,699,650,611,616,583,754,629,650,587,592,677,561,701,601,686,641,695,649,680
100x200x400,100,200,400,2518,2574,2577,2474,2634,2651,2701,2649,2636,2774,3034,2729,3027,2792,2867,3335,2684,2726,2625,2620,2696,2748,2877,2808,2902,2759,3878,3054,2781,2904,3179,3259
400x400x400,400,400,400,81325,79572,81653,80198,80996,81792,81060,82260,81885,81101,80752,81765,81409,81733,81290,80370,80155,81054,80764,81571,81548,80834,81099,80784,81257,81035,83382,81108,81512,81100,81328,80745
100x400x200,100,400,200,6309,3444,2823,2769,2644,2933,2798,2615,2752,2679,2508,2498,2497,2697,2705,2759,2804,2826,3207,2514,2635,2505,2481,2544,2491,2628,2729,2628,2604,2759,2822,4061
100x400x100,100,400,100,1469,1449,1401,1326,1421,1211,1319,1259,1261,1246,1562,1339,1453,1401,1325,1331,1319,1318,1250,1280,1296,1271,1605,1156,1250,1187,1299,1560,1278,1274,1228,1422
400x100x200,400,100,200,2651,2838,2691,2756,2729,2708,2714,2980,2928,2996,2798,3032,2981,3577,2929,2866,2744,2517,2605,2672,2711,2825,2845,3759,2792,2470,2689,2906,2968,2843,2985,2935
400x100x100,400,100,100,1543,1619,1496,1693,1534,1511,1349,1328,1524,1307,1300,1261,1507,1227,1280,1638,1340,1372,1270,1336,1203,1223,1279,1257,1318,1326,1192,1254,1192,1201,1180,1280
400x100x400,400,100,400,5187,16920,17720,17999,17607,16828,16697,18242,18935,18348,18342,17806,18655,19956,18413,17970,19206,18174,17818,18716,17777,18114,18890,17266,18147,18367,17382,19450,18186,18299,16575,15235
100x400x400,100,400,400,17719,18550,17326,18315,18797,17912,18760,18140,18179,18749,17787,18853,17679,18782,19050,16768,17711,18528,17978,19409,18108,17463,18092,17598,17969,16964,19073,17719,18044,17769,17936,17711
100x100x100,100,100,100,987,739,502,370,350,414,356,294,424,356,613,358,503,477,293,338,355,275,398,297,406,352,307,414,335,314,326,365,328,552,316,412
100x100x400,100,100,400,1299,1165,1249,1309,1328,1374,1457,1226,1404,1209,1466,1357,1246,1285,1532,1351,1343,1102,1229,1188,1199,1386,1476,1300,1310,1258,1146,1173,1222,1281,1370,1130
200x200x400,200,200,400,5138,15994,18709,19320,18393,18311,19601,17958,17195,18027,19226,18001,19203,17830,18254,20224,18178,17477,18000,19307,18275,18511,17984,19130,18147,19041,18547,18860,16491,18426,18126,18239
100x100x200,100,100,200,1735,782,871,730,680,636,591,632,608,607,648,662,543,683,661,604,650,614,612,539,746,632,561,641,781,756,678,546,639,644,559,681
200x200x100,200,200,100,1215,1434,1532,1276,1258,1489,1369,1340,1339,1273,1590,1531,1234,1328,1426,1235,1340,1307,1292,1302,1302,1248,1303,1301,1228,1363,1428,1260,1238,1191,1358,1306
200x200x200,200,200,200,2490,2457,2595,2600,2594,2805,2778,2772,3133,2924,2961,3107,3697,2843,2823,2811,2600,2737,2934,3121,2859,2711,2641,2817,2705,2523,3094,2852,2714,2713,2829,3064
200x400x400,200,400,400,36064,37501,37401,36666,37359,37517,37033,37051,36957,38266,37589,38129,37435,37469,37710,37298,36850,36608,39054,38188,36562,36779,37404,36713,36526,38621,37171,37220,37815,36821,37297,38419
400x200x100,400,200,100,5446,3230,2938,2861,2708,2718,2786,2691,2743,3315,2784,2661,2951,2680,2862,2924,2907,3034,3030,2887,2870,3030,2608,2702,2691,2696,2596,2822,2605,2752,2997,3233
200x400x200,200,400,200,16534,18721,18395,19754,17460,17182,19931,18330,18692,19686,18942,19514,18754,18610,17194,18316,17704,17426,19057,18320,18253,18632,18900,18504,17371,19706,18623,18612,19150,19761,18365,18327
